"","Year","Country","Populations","Emissions_Yearly_Total","Emissions_Capita","LAT","LONG","Global_Pop"
"69","X1960","Angola",4963068,550,0.110818550138745,-12.5,18.5,20883850512
"70","X1960","Jordan",895357,744.3333333,0.8313257542336,31,36,20883850512
"71","X1960","Paraguay",1905829,304.3333333,0.159685540168259,-22.993333,-57.996389,20883850512
"72","X1960","Guinea",3540756,410.6666667,0.11598276375629,11,-10,20883850512
"73","X1960","Equatorial Guinea",252115,22,0.087261765464173,2,10,20883850512
"74","X1960","Ethiopia",22553350,352,0.015607437476029,8,38,20883850512
"75","X1960","Benin",2419644,161.3333333,0.06667647527212,9.5,2.25,20883850512
"76","X1960","Finland",4430001,15103,3.40925430942341,64,26,20883850512
"77","X1960","Sudan",9196306,1360.333333,0.147921712623888,16,30,20883850512
"78","X1960","Argentina",20625451,48810.66667,2.36652602974193,-34,-64,20883850512
"79","X1960","Tunisia",4220701,1727,0.409173736779743,34,9,20883850512
"80","X1960","South Africa",17396477,97925.66667,5.62905159858899,-30,26,20883850512
"81","X1960","Ecuador",4439206,1763.666667,0.397293269712346,-2,-77.5,20883850512
"82","X1960","Somalia",2819246,84.33333333,0.029913435483577,6,48,20883850512
"83","X1960","Norway",3580998,13101,3.65847732950423,62,10,20883850512
"84","X1960","Qatar",47085,176,3.73792078156525,25.5,51.25,20883850512
"85","X1960","Australia",10286184,88194.33333,8.57405752544708,-25,135,20883850512
"86","X1960","Luxembourg",314002,11517,36.6781103305074,49.75,6.166667,20883850512
"87","X1960","Indonesia",91946612,21402.33333,0.232769134912044,-5,120,20883850512
"88","X1960","Madagascar",5103652,399.6666667,0.078309937015037,-20,47,20883850512
"89","X1960","Hungary",9982612,45367.66667,4.54466893701435,47,20,20883850512
"90","X1960","Dominica",60015,11,0.183287511455469,15.5,-61.333333,20883850512
"91","X1960","Chile",7651579,13489.66667,1.76299122921774,-30,-71,20883850512
"92","X1960","Brazil",72758801,46904,0.644650535129077,-10,-55,20883850512
"93","X1960","Guinea-Bissau",593289,18.33333333,0.030901185313285,12,-15,20883850512
"94","X1960","Mali",5247877,121,0.023056942836122,17,-4,20883850512
"95","X1960","Belize",92633,44,0.474992713179968,17.25,-88.75,20883850512
"96","X1960","Costa Rica",1334004,491.3333333,0.368314737686943,10,-84,20883850512
"97","X1960","Guatemala",4158956,1345.666667,0.323558764907988,15.5,-90.25,20883850512
"98","X1960","Israel",2089963,6468,3.09479163028245,31.5,34.75,20883850512
"99","X1960","Chad",2954088,55,0.018618267296032,15,19,20883850512
"100","X1960","United Kingdom",52544356,584246.6667,11.1191136621156,54,-4,20883850512
"101","X1960","Bolivia",3354895,1004.666667,0.299462924075617,-17,-65,20883850512
"102","X1960","Cote d'Ivoire",3638385,462,0.12697941531751,8,-5,20883850512
"103","X1960","Barbados",230831,172.3333333,0.746577943748168,13.166667,-59.533333,20883850512
"104","X1960","Morocco",11625999,3641,0.313177388024892,32,-5,20883850512
"105","X1960","Bahrain",161825,575.6666667,3.55734074875122,26,50.5,20883850512
"106","X1960","Afghanistan",9671046,414.3333333,0.042842659763311,33,66,20883850512
"107","X1960","Bermuda",44713,157.6666667,3.52619297892485,32.333333,-64.75,20883850512
"108","X1960","Cuba",7133582,13698.66667,1.92030689023644,22,-79.5,20883850512
"109","X1960","Gabon",485732,132,0.27175479482513,-1,11.75,20883850512
"110","X1960","New Caledonia",78005,861.6666667,11.0463004508258,-21.5,165.5,20883850512
"111","X1960","Algeria",10799997,6160,0.570370528806628,28,3,20883850512
"112","X1960","Panama",1128378,997.3333333,0.883864567842809,9,-80,20883850512
"113","X1960","Sao Tome and Principe",64251,11,0.17120356103407,1,7,20883850512
"114","X1960","Mozambique",7647298,1884.666667,0.246448702099312,-18.25,35,20883850512
"115","X1960","El Salvador",2773095,619.6666667,0.223456703310441,13.833333,-88.916667,20883850512
"116","X1960","Iraq",7379922,8264.666667,1.11988536825547,33,44,20883850512
"117","X1960","Philippines",26010295,8334.333333,0.320424406310399,13,122,20883850512
